down,DCTH
down,ENPH
up,ADRO
up,CVGI
down,JBLU
down,ADTN
down,ISIL
up,GMLP
up,LNTH
down,ALIM
up,TTPH
down,GBSN
down,HMHC
up,ARLP
down,CY
down,CTIC
up,FLWS
down,RUN
up,EZPW
up,VNDA
down,MNTA
down,AREX
up,CYTK
down,CZR
up,XBIT
up,AAOI
down,SPLS
down,SQNM
up,BRCD
down,LIOX
up,LEDS
down,INSY
down,ARNA
down,HDP
up,GPRO
down,AEGR
up,MNKD
up,GNCA
down,TACO
up,CECO
up,CWST
down,BLDR
up,ZNGA
down,DRYS
down,MVIS
down,CLVS
up,GRSH
up,IRWD
down,CLMT
down,XOMA
down,MACK
down,MRNS
up,TVIA
down,IMGN
up,TIVO
down,PENN
up,EBIO
down,ACHN
down,GERN
down,CEMP
down,DRRX
up,EXEL
up,XGTI
up,ORBC
up,AGNC
down,RMTI
down,ARAY
up,EMKR
down,CMRX
up,GEVO
up,AGEN
up,KBSF
up,MTCH
down,SIGM
down,STEM
down,PLUG
down,CAMP
down,BCRX
down,XXIA
down,EIGI
up,GLBL
down,GLUU
down,NWBO
down,CMLS
down,HIMX
down,INFN
down,DNAI
down,REGI
up,MCUR
down,OCUL
down,HLIT
up,WATT
up,CLNE
down,GOGO
down,CARA
up,TRUE
up,AERI
up,ANGO
up,KTWO
down,OREX
down,HTLD
down,AMKR
down,FRAN
up,TERP
down,EYES
down,VNET
down,ARIA
up,BRKS
down,PGNX
down,CFMS
down,PDLI
down,COSI
down,ESPR
down,DVAX
up,CROX
up,ENTG
up,MRD
down,SCYX
up,PGTI
down,FGEN
up,BLCM
down,ETSY
down,SCLN
up,TLOG
down,CSIQ
down,PLCM
down,CALA
up,CORT
up,PRTS
up,EXAS
down,SEDG
up,FORM
up,SHOR
up,TOUR
down,CG
down,CONN
down,QSII
down,RMBS
down,MEMP
down,FCS
down,AMRS
down,CENX
down,TTOO
up,LOGI
up,FIVN
down,RPXC
down,RGLS
up,RLOC
down,SMLR
up,BEAT
down,MPEL
down,RCII
up,KEYW
down,GRPN
down,SGMO
up,CPRX
down,MRVL
down,JASO
up,INOV
up,GNMK
down,APOL
down,FOLD
down,PTCT
up,SALE
down,FNSR
down,NMIH
down,LPSN
down,CYTR
up,HZNP
down,TRVN
up,CERS
up,MTGE
down,ROSG
down,SNTA
down,ANTH
up,SCHN
down,LGCY
down,MOMO
up,SKUL
down,AMRI
up,BV
down,EXTR
down,BLMN
down,PACB
down,FOMX
down,RIGL
down,SCON
down,FEYE
down,ERII
down,AMCN
down,ZUMZ
up,NWBI
up,ARRY
down,REXX
down,SREV
down,FLEX
up,HMSY
up,AMPH
down,TSEM
down,VVUS
up,PMTS
down,BOFI
down,SCMP
down,AMDA
down,AMCC
down,ZFGN
down,CPLP
up,THLD
